bench,match_tier,match_key,bit_index,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,nvidia_source,amd_source,intel_source,nvidia_site_class,amd_site_class,intel_site_class,nvidia_opcode,amd_opcode,intel_opcode,nvidia_type_kind,amd_type_kind,intel_type_kind,canonical_relpath,canonical_line
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,13,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,14,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,15,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,16,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,17,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,18,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,19,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,20,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,21,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,22,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,23,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,24,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,25,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,26,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,27,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,28,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,29,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,30,16,140,17,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|7,31,16,140,17,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,13,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,14,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,15,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,16,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,17,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,18,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,19,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,20,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,21,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,22,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,23,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,24,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,25,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,26,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,27,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,28,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,29,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,family_full,356221f091c4|load|int|32|value|-1|8,30,17,142,18,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,0,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,1,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,3,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,4,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,5,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,7,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,8,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,9,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,11,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,12,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,14,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,15,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,16,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,17,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,18,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,19,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,20,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,21,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,22,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,23,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,24,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,25,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,26,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,27,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,28,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,29,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,30,10,127,12,SDC,,DUE,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,if (layer < n/2) {|int first = layer;|int last = n - 1 - layer;|load|int|32|value,31,10,127,12,DUE,,SDC,nvidia:float,,intel:float,result,result,base,load,load,load,int,int,int,main.src,int first = layer;
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,0,84,298,86,DUE,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,1,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,2,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,3,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,4,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,5,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,6,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,7,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,8,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,9,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,10,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,11,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,12,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,13,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,14,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,15,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,16,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,17,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,18,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,19,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,20,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,21,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,22,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,23,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,24,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,25,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,26,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,27,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,28,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,29,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,30,84,298,86,SDC,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,31,84,298,86,DUE,,MASKED,nvidia:float,,intel:float,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,32,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,33,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,34,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,35,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,36,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,37,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,38,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,39,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,40,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,41,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,42,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,43,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,44,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,45,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,46,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,47,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,48,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,49,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
matrix-rotate,source_context_type_family,int last = n - 1 - layer;|for(int i = first; i < last; ++i) {|int offset = i - first;|add|int|32|value,50,84,298,86,DUE,,MASKED,nvidia:float,,intel:pointer,result,result,base,add,add,add,int,int,int,main.src,for(int i = first; i < last; ++i) {
